name,email,phone,city,state,description,practice_areas,profile_url
Singh &amp; Associates,,+911141469000,New Delhi,Delhi,"Singh & Associates is known for criminal law, extradition matters, white collar crime defence, family disputes, and litigation before courts and tribunals in India.","Litigation, White Collar Crime",https://directory.legalfirms.in/firm/singh-associates
Argus Partners,,+912269079000,Mumbai,Maharashtra,"Argus Partners advises Indian and international clients on banking and finance transactions, infrastructure projects, mergers and acquisitions, private equity investments, and commercial dispute resolution matters across multiple regulated sectors.",Dispute Resolution,https://directory.legalfirms.in/firm/argus-partners
Dhir &amp; Dhir Associates,,+911142424242,New Delhi,Delhi,"Dhir & Dhir Associates advises businesses, lenders, resolution professionals, and institutions on insolvency and bankruptcy matters, litigation, project finance, debt restructuring, and infrastructure disputes.",Litigation,https://directory.legalfirms.in/firm/dhir-dhir-associates
IndiaLaw LLP,contact@indialaw.in,+912269247400,Mumbai,Maharashtra,"IndiaLaw LLP advises clients on cross border transactions, employment law, foreign investment, dispute resolution, and commercial restructuring matters across India.",Dispute Resolution,https://directory.legalfirms.in/firm/indialaw-llp
Juris Corp,,+912267634343,Mumbai,Maharashtra,"Juris Corp is a Mumbai based law firm known for restructuring, insolvency, banking and finance, debt recovery, and complex commercial advisory matters for corporates and financial institutions.",,https://directory.legalfirms.in/firm/juris-corp
Saikrishna &amp; Associates,,+911126870000,New Delhi,Delhi,"Saikrishna & Associates is a boutique Indian law firm focused on intellectual property, telecom regulation, media law, technology law, and data privacy advisory services.",,https://directory.legalfirms.in/firm/saikrishna-associates
Singhania &amp; Partners,,+911147471410,New Delhi,Delhi,"Singhania & Partners advises domestic and international clients on arbitration, foreign investment, taxation, infrastructure projects, mergers and acquisitions, and regulatory compliance matters.",Taxation,https://directory.legalfirms.in/firm/singhania-partners
Tatva Legal,bangalore@tatvalegal.com,+918043311433,Bangalore,Karnataka,"Tatva Legal advises startups, venture capital funds, technology companies, and entrepreneurs on data privacy, fundraising, private equity, employment law, and commercial transactions.",,https://directory.legalfirms.in/firm/tatva-legal
Wadia Ghandy &amp; Co,,+912266137000,Mumbai,Maharashtra,"Wadia Ghandy & Co is one of India’s established full service law firms advising clients on corporate transactions, taxation, litigation, real estate, and regulatory advisory matters.","Litigation, Taxation",https://directory.legalfirms.in/firm/wadia-ghandy-co
Dua Associates,,,Bangalore,Karnataka,"Dua Associates is an Indian law firm advising businesses, investors, startups, and institutions on Employment Law, Taxation, Infrastructure Law matters across multiple sectors including technology, infrastructure, finance, and regulatory compliance.",Taxation,https://directory.legalfirms.in/firm/dua-associates
Economic Laws Practice,,,Mumbai,Maharashtra,"Economic Laws Practice is an Indian law firm advising businesses, investors, startups, and institutions on Competition Law, Tax Law, ESG Advisory matters across multiple sectors including technology, infrastructure, finance, and regulatory compliance.",,https://directory.legalfirms.in/firm/economic-laws-practice
Fox Mandal,,,Kolkata,West Bengal,"Fox Mandal provides legal advisory and representation services in Litigation, Employment Law, Corporate Law, handling both domestic and cross border matters for corporates, entrepreneurs, and financial institutions.",Litigation,https://directory.legalfirms.in/firm/fox-mandal
Ikigai Law,,,New Delhi,Delhi,"Ikigai Law focuses on Fintech Law, Gaming Law, Data Privacy and regularly advises clients on commercial transactions, regulatory issues, risk management, and dispute resolution proceedings.",,https://directory.legalfirms.in/firm/ikigai-law
Kochhar &amp; Co,,,New Delhi,Delhi,"Kochhar & Co handles complex Employment Law, Corporate Law, IPR matters for Indian and international clients, including advisory, compliance, litigation, arbitration, and transactional support services.",,https://directory.legalfirms.in/firm/kochhar-co
Lakshmikumaran &amp; Sridharan,,,New Delhi,Delhi,"Lakshmikumaran & Sridharan handles complex GST, Customs, Trade Remedies matters for Indian and international clients, including advisory, compliance, litigation, arbitration, and transactional support services.",,https://directory.legalfirms.in/firm/lakshmikumaran-sridharan
Nishith Desai Associates,,,Mumbai,Maharashtra,"Nishith Desai Associates handles complex International Taxation, Cross Border Transactions, Technology Law matters for Indian and international clients, including advisory, compliance, litigation, arbitration, and transactional support services.",,https://directory.legalfirms.in/firm/nishith-desai-associates
Remfry &amp; Sagar,,,New Delhi,Delhi,"Remfry & Sagar provides legal advisory and representation services in Patent Filing, Trademark Registration, Copyright Law, handling both domestic and cross border matters for corporates, entrepreneurs, and financial institutions.",,https://directory.legalfirms.in/firm/remfry-sagar
Anand and Anand,mail@anandandanand.com,+911142819999,New Delhi,Delhi,"Anand and Anand is a leading Indian intellectual property law firm representing global and domestic clients in patent disputes, trademark prosecution, copyright enforcement, technology licensing, and innovation protection matters across multiple industries including pharmaceuticals, media, telecom, and electronics.",,https://directory.legalfirms.in/firm/anand-and-anand
AZB &amp; Partners,,,Mumbai,Maharashtra,"AZB & Partners focuses on Private Equity, Corporate Law, Capital Markets and regularly advises clients on commercial transactions, regulatory issues, risk management, and dispute resolution proceedings.",Capital Markets,https://directory.legalfirms.in/firm/azb-partners
Cyril Amarchand Mangaldas,,,Mumbai,Maharashtra,"Cyril Amarchand Mangaldas handles complex Corporate Law, Competition Law, Banking and Finance matters for Indian and international clients, including advisory, compliance, litigation, arbitration, and transactional support services.",,https://directory.legalfirms.in/firm/cyril-amarchand-mangaldas
DSK Legal,,,Mumbai,Maharashtra,"DSK Legal focuses on Real Estate Law, Corporate Law, Taxation and regularly advises clients on commercial transactions, regulatory issues, risk management, and dispute resolution proceedings.",Taxation,https://directory.legalfirms.in/firm/dsk-legal
JSA Advocates &amp; Solicitors,,,Mumbai,Maharashtra,"JSA Advocates & Solicitors is an Indian law firm advising businesses, investors, startups, and institutions on Banking and Finance, Infrastructure Law, Arbitration, Corporate Law matters across multiple sectors including technology, infrastructure, finance, and regulatory compliance.",,https://directory.legalfirms.in/firm/jsa-advocates-solicitors
Khaitan &amp; Co,info@khaitanco.com,+912266365000,Mumbai,Maharashtra,"Khaitan & Co is one of India’s oldest full service law firms advising corporates, financial institutions, investors, startups, and multinational businesses on mergers and acquisitions, banking transactions, regulatory compliance, dispute resolution, private equity investments, and taxation matters.","Dispute Resolution, Taxation",https://directory.legalfirms.in/firm/khaitan-co
Phoenix Legal,,,New Delhi,Delhi,"Phoenix Legal provides legal advisory and representation services in Project Finance, Arbitration, Commercial Litigation, handling both domestic and cross border matters for corporates, entrepreneurs, and financial institutions.",,https://directory.legalfirms.in/firm/phoenix-legal
S&amp;R Associates,,,New Delhi,Delhi,"S&R Associates provides legal advisory and representation services in Capital Markets, Mergers and Acquisitions, Dispute Resolution, handling both domestic and cross border matters for corporates, entrepreneurs, and financial institutions.","Capital Markets, Dispute Resolution",https://directory.legalfirms.in/firm/s-r-associates
Shardul Amarchand Mangaldas &amp; Co,,,New Delhi,Delhi,"Shardul Amarchand Mangaldas & Co is an Indian law firm advising businesses, investors, startups, and institutions on Corporate Law, Taxation, Insolvency and Bankruptcy matters across multiple sectors including technology, infrastructure, finance, and regulatory compliance.",Taxation,https://directory.legalfirms.in/firm/shardul-amarchand-mangaldas-co
Trilegal,contact@trilegal.com,+918043434646,Bangalore,Karnataka,"Trilegal advises Indian and international businesses on commercial transactions, technology law, competition law, private equity deals, venture capital investments, infrastructure matters, and high value dispute resolution proceedings before courts and tribunals.",Dispute Resolution,https://directory.legalfirms.in/firm/trilegal
A &amp; S Law,kvs@assetsadvisory.com,+919959223615,Hyderabad,Telangana,,,https://directory.legalfirms.in/firm/a-s-law
ANS Associates,admin@ansassociates.org,+919903712782,Kolkata,West Bengal,,,https://directory.legalfirms.in/firm/ans-associates
Asa Legal Services LLP,asa@asalegal.in,+919811052529,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/asa-legal-services-llp
Bhave &amp; Co.,mumbai@bhaveandcompany.com,+919969201303,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/bhave-co
Economic Law Practices,suhailnathani@elp-in.com,+919820027803,Ahmedabad,Gujarat,,,https://directory.legalfirms.in/firm/economic-law-practices
Gupta Law Associates,admin@guptalawassociates.in,+919850026754,Ahmedabad,Gujarat,,,https://directory.legalfirms.in/firm/gupta-law-associates
India Law Alliance,mail@indialawalliance.com,+919820092827,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/india-law-alliance
J. Sagar Associates,bijal.chhatrapati@jsalaw.com,+9102243418600,Ahmedabad,Gujarat,,"Corporate & Commercial, International Trade",https://directory.legalfirms.in/firm/j-sagar-associates
J. Sagar Associates,vinod.kumar@jsalaw.com,+9102243418600,Chennai,Tamil Nadu,,"Corporate & Commercial, International Trade",https://directory.legalfirms.in/firm/j-sagar-associates-2
J. Sagar Associates,dina@jsalaw.com,+9102243418600,Mumbai,Maharashtra,,"Corporate & Commercial, International Trade",https://directory.legalfirms.in/firm/j-sagar-associates-4
J. Sagar Associates,divyanshu.pandey@jsalaw.com,+919910443986,New Delhi,Delhi,,"Corporate & Commercial, International Trade",https://directory.legalfirms.in/firm/j-sagar-associates-5
Jitendra Kumar &amp; Associates,adv.jiten@gmail.com,+919811215039,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/jitendra-kumar-associates
Juris Prime Services,raju@jurisprime.com,+919866446467,Hyderabad,Telangana,,,https://directory.legalfirms.in/firm/juris-prime-services
Just Law Advocates,admin@justlaw.co.in,+918022259074,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/just-law-advocates
K.K. Associates,khushnuma@kkassociates.co.in,+919930356276,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/k-k-associates
Khaitan &amp; Khaitan,info@khaitanandkhaitan.com,+919810903369,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/khaitan-khaitan
King &amp; Partridge,kplaws@eth.net,+919840029865,Chennai,Tamil Nadu,,,https://directory.legalfirms.in/firm/king-partridge
King Stubb &amp; Kasiva Advocates &amp; Attorneys,bangalore@ksandk.com,+919999330819,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/king-stubb-kasiva-advocates-attorneys
King Stubb &amp; Kasiva Advocates &amp; Attorneys,chennai@ksandk.com,+918826805955,Chennai,Tamil Nadu,,,https://directory.legalfirms.in/firm/king-stubb-kasiva-advocates-attorneys-2
King Stubb &amp; Kasiva Advocates &amp; Attorneys,mumbai@ksandk.com,+919920881369,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/king-stubb-kasiva-advocates-attorneys-3
King Stubb &amp; Kasiva Advocates &amp; Attorneys,delhi@ksandk.com,+919810088448,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/king-stubb-kasiva-advocates-attorneys-4
Link Legal,s.srivastava@linklegal.in,+919845613341,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/link-legal
"M/S Anand, Samy &amp; Dhruva",mail@asdlaw.in,+919382863020,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/m-s-anand-samy-dhruva
M/S Shaijan C George &amp; Associates,shaijan@hotmail.com,+918826579255,Kochi,Kerala,,,https://directory.legalfirms.in/firm/m-s-shaijan-c-george-associates
M/S Sree &amp; Co. Legal Services,sreeandcolegalservices@gmail.com,+919080224482,Chennai,Tamil Nadu,,,https://directory.legalfirms.in/firm/m-s-sree-co-legal-services
Maheshwari &amp; Co.,vm@maheshwariandco.com,+919810054881,New Delhi,Delhi,,Corporate & Commercial,https://directory.legalfirms.in/firm/maheshwari-co
Meharia and Company,mumbai@mcolegals.in,+919830079467,Kolkata,West Bengal,,,https://directory.legalfirms.in/firm/meharia-and-company
Mital &amp; Mital Associates,delhi@mitalandmital.com,+919810506223,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/mital-mital-associates
Moson Le Exparts,teamadvocate@mosonleexparts.org,+919426305473,Ahmedabad,Gujarat,,,https://directory.legalfirms.in/firm/moson-le-exparts
Mvkini Law Firm,ahmedabad@mvkini.com,+9102266664298,Ahmedabad,Gujarat,,,https://directory.legalfirms.in/firm/mvkini-law-firm
Mvkini Law Firm,allahabad@mvkini.com,+9105322422199,Prayagraj,Uttar Pradesh,,,https://directory.legalfirms.in/firm/mvkini-law-firm-2
Mvkini Law Firm,mvkini@airtelmail.in,+9108041523551,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/mvkini-law-firm-3
Mvkini Law Firm,bhubaneswar@mvkini.com,+9106742535567,Cuttack,Odisha,,,https://directory.legalfirms.in/firm/mvkini-law-firm-4
Mvkini Law Firm,hyderabad@mvkini.com,+9104066323042,Hyderabad,Telangana,,,https://directory.legalfirms.in/firm/mvkini-law-firm-5
Mvkini Law Firm,kolkata@mvkini.com,+9103340697019,Kolkata,West Bengal,,,https://directory.legalfirms.in/firm/mvkini-law-firm-6
Mvkini Law Firm,bombay@mvkini.com,+919820042501,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/mvkini-law-firm-7
Mvkini Law Firm,delhi@mvkini.com,+9101124371038,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/mvkini-law-firm-8
Orbit Law Services,chennai@orbitlaw.co.in,+919444012284,Chennai,Tamil Nadu,,,https://directory.legalfirms.in/firm/orbit-law-services
Orbit Law Services,vijaywada@orbitlaw.co.in,+9108662531214,Hyderabad,Telangana,,,https://directory.legalfirms.in/firm/orbit-law-services-2
Orbit Law Services,mumbai@orbitlaw.co.in,+919833589926,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/orbit-law-services-3
Orbit Law Services,delhi@orbitlaw.co.in,+919869022636,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/orbit-law-services-4
Pan India Legal Services LLP,info@plslegal.in,+919481800074,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/pan-india-legal-services-llp
Pra Law Offices,raghav@pralaw.in,+919958996310,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/pra-law-offices
Pra Law Offices,srini@pralaw.in,+919810533719,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/pra-law-offices-2
PSL Advocates &amp; Solicitors,sandeep@pslchambers.com,+9199104017000,Chandigarh,Chandigarh,,,https://directory.legalfirms.in/firm/psl-advocates-solicitors
R &amp; A Legal Advocates,royrajiv@hotmail.com,+919811181959,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/r-a-legal-advocates
Rajani Associates,info@rajaniassociates.net,+919820041647,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/rajani-associates
Rathina Maravarman Advocates &amp; Legal Consultants,rm@rathinamaravarman.com,+919821311011,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/rathina-maravarman-advocates-legal-consultants
RP Kapur &amp; Co.,office@rpklaw.com,+919811253030,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/rp-kapur-co
S K Singhi &amp; Co. LLP,surendra.singhi@sksinghiandco.com,+919748035250,Kolkata,West Bengal,,,https://directory.legalfirms.in/firm/s-k-singhi-co-llp
S.K. Agarwal &amp; Co.,ravinderagar@gmail.com,+919810056263,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/s-k-agarwal-co
Sagar &amp; Sagar Law Offices,sagarandsagar@live.com,+919811016162,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/sagar-sagar-law-offices
Samwad Partners,infoblr@samvadpartners.com,+919986022206,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/samwad-partners
Samwad Partners,infochn@samvadpartners.com,+919710286750,Chennai,Tamil Nadu,,,https://directory.legalfirms.in/firm/samwad-partners-2
Samwad Partners,infohyd@samvadpartners.com,+919849084007,Hyderabad,Telangana,,,https://directory.legalfirms.in/firm/samwad-partners-3
Samwad Partners,infomumbai@samvadpartners.com,+919930904934,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/samwad-partners-4
Samwad Partners,infodel@samvadpartners.com,+919818368288,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/samwad-partners-5
SDS Advocates,subirkumar@sdsadvocates.com,+919769441090,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/sds-advocates
Seth &amp; Rathn Associates LLP,setukrishna@gmail.com,+919841023735,Chennai,Tamil Nadu,,,https://directory.legalfirms.in/firm/seth-rathn-associates-llp
Shree Law Services,ravichandran@shreelawservices.com,+919789986612,Chennai,Tamil Nadu,,,https://directory.legalfirms.in/firm/shree-law-services
Singh &amp; Company,advshankarsingh1@gmail.com,+919830090585,Kolkata,West Bengal,,,https://directory.legalfirms.in/firm/singh-company
Singhi &amp; Co.,mumbai@singhiandco.com,+9107967121800,Ahmedabad,Gujarat,,,https://directory.legalfirms.in/firm/singhi-co
"SJ Law, Advocates and Solicitors",mumbai@sjlaw.in,+919820048883,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/sj-law-advocates-and-solicitors
SKR &amp; Associates,admin@skradvocates.com,+919830267048,Kolkata,West Bengal,,,https://directory.legalfirms.in/firm/skr-associates
Solicis Lex Advocates &amp; Solicitors,law@solicislex.com,+919427987720,Ahmedabad,Gujarat,,,https://directory.legalfirms.in/firm/solicis-lex-advocates-solicitors
Sri &amp; Associates,pbasrinivasan@yahoo.co.in,+919871643443,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/sri-associates
Sundaraswamy &amp; Ramdas Advocates,admin@sundaraswamy.com,+9108022263838,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/sundaraswamy-ramdas-advocates
Surana &amp; Surana,intellect@lawindia.com,+919884491000,Chennai,Tamil Nadu,,,https://directory.legalfirms.in/firm/surana-surana
Surana &amp; Surana,ncr.intellect@lawindia.com,+917448358000,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/surana-surana-2
Tandon and Company,kunal@tandonandco.com,+919818442226,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/tandon-and-company
The Law Point,registrar@thelawpoint.com,+919920364784,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/the-law-point
Thodur Law Associates,thodurlaw@yahoo.co.in,+917259799922,Bengaluru,Karnataka,,,https://directory.legalfirms.in/firm/thodur-law-associates
Vaish Associates Advocates,mumbai@vaishlaw.com,+919833367878,Mumbai,Maharashtra,,"Intellectual Property, International Trade, Taxation, Technology",https://directory.legalfirms.in/firm/vaish-associates-advocates
Vats Gupta &amp; Co.,vgclawfirm@gmail.com,+919810062048,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/vats-gupta-co
Vipin Jai &amp; Associates,vipinjai@yahoo.co.in,+919873715747,New Delhi,Delhi,,,https://directory.legalfirms.in/firm/vipin-jai-associates
ZBA Advocates &amp; Solicitors,niloufer.lam@zba.co.in,+919920668000,Mumbai,Maharashtra,,,https://directory.legalfirms.in/firm/zba-advocates-solicitors
